	Assay	Cell Type	Molecule
121	CAGE	astrocytoma cell line	
122	CAGE	epidermoid carcinoma cell line	
123	CAGE	epidermoid carcinoma cell line	
124	CAGE	b cell line	
125	CAGE	b cell line	
126	CAGE	anaplastic carcinoma cell line	
127	CAGE	anaplastic carcinoma cell line	
128	CAGE	acute lymphoblastic leukemia (T-ALL) cell line	
129	CAGE	acute lymphoblastic leukemia (T-ALL) cell line	
130	CAGE	non T non B acute lymphoblastic leukemia (ALL) cell line	
131	CAGE	non T non B acute lymphoblastic leukemia (ALL) cell line	
132	CAGE	epidermoid carcinoma cell line	
133	CAGE	epidermoid carcinoma cell line	
134	CAGE	bile duct carcinoma cell line	
135	CAGE	bile duct carcinoma cell line	
136	CAGE	giant cell carcinoma cell line	
137	CAGE	giant cell carcinoma cell line	
138	CAGE	oral squamous cell carcinoma cell line	
139	CAGE	oral squamous cell carcinoma cell line	
140	CAGE	signet ring carcinoma cell line	
141	CAGE	signet ring carcinoma cell line	
142	CAGE	Endothelial Cells - Aortic,	
143	CAGE	Endothelial Cells - Aortic,	
144	CAGE	Smooth Muscle Cells - Aortic,	
145	CAGE	Smooth Muscle Cells - Aortic,	
146	CAGE	Smooth Muscle Cells - Umbilical artery,	
147	CAGE	Smooth Muscle Cells - Umbilical artery,	
148	CAGE	Retinal Pigment Epithelial Cells,	
149	CAGE	Retinal Pigment Epithelial Cells,	
150	CAGE	Urothelial cells,	
151	CAGE	Urothelial cells,	
152	CAGE	Mesenchymal stem cells - adipose,	
153	CAGE	Mesenchymal stem cells - adipose,	
154	CAGE	Mesenchymal stem cells - hepatic,	
155	CAGE	Mesenchymal stem cells - hepatic,	
156	CAGE	Mesenchymal Stem Cells - Vertebral,	
157	CAGE	Mesenchymal Stem Cells - Vertebral,	
158	CAGE	Sebocyte,	
159	CAGE	Sebocyte,	
160	CAGE	Fibroblast - Gingival,  (GFH2)	
161	CAGE	Fibroblast - Gingival,  (GFH2)	
162	CAGE	Mesothelial Cells,	
163	CAGE	Mesothelial Cells,	
164	CAGE	Sertoli Cells,	
165	CAGE	Sertoli Cells,	
166	CAGE	CD14+ Monocytes,	
167	CAGE	CD14+ Monocytes,	
168	CAGE	CD4+ T Cells,	
169	CAGE	CD4+ T Cells,	
170	CAGE	CD8+ T Cells,	
171	CAGE	CD8+ T Cells,	
172	CAGE	Dendritic Cells - monocyte immature derived, , tech_	
173	CAGE	Dendritic Cells - monocyte immature derived, , tech_	
174	CAGE	Dendritic Cells - plasmacytoid,	
175	CAGE	Dendritic Cells - plasmacytoid,	
176	CAGE	CD14+ monocyte derived endothelial progenitor cells,	
177	CAGE	CD14+ monocyte derived endothelial progenitor cells,	
178	CAGE	Natural Killer Cells,	
179	CAGE	Natural Killer Cells,	
180	CAGE	Peripheral Blood Mononuclear Cells,	
181	CAGE	Peripheral Blood Mononuclear Cells,	
182	CAGE	Macrophage - monocyte derived,	
183	CAGE	Macrophage - monocyte derived,	
184	CAGE	Neutrophils,	
185	CAGE	Neutrophils,	
186	CAGE	Smooth Muscle Cells - Brain Vascular,	
187	CAGE	Smooth Muscle Cells - Brain Vascular,	
188	CAGE	Astrocyte - cerebral cortex,	
189	CAGE	Astrocyte - cerebral cortex,	
190	CAGE	Endothelial Cells - Lymphatic,	
191	CAGE	Endothelial Cells - Lymphatic,	
192	CAGE	Fibroblast - Gingival,	
193	CAGE	Fibroblast - Gingival,	
194	CAGE	Fibroblast - Periodontal Ligament,	
195	CAGE	Fibroblast - Periodontal Ligament,	
196	CAGE	Smooth Muscle Cells - Colonic,	
197	CAGE	Smooth Muscle Cells - Colonic,	
198	CAGE	Skeletal Muscle Satellite Cells,	
199	CAGE	Skeletal Muscle Satellite Cells,	
200	CAGE	Myoblast,	
201	CAGE	Myoblast,	
202	CAGE	Ciliary Epithelial Cells,	
203	CAGE	Ciliary Epithelial Cells,	
204	CAGE	Endothelial Cells - Umbilical vein,	
205	CAGE	Endothelial Cells - Umbilical vein,	
206	CAGE	Fibroblast - Aortic Adventitial,	
207	CAGE	Fibroblast - Aortic Adventitial,	
208	CAGE	Intestinal epithelial cells (polarized),	
209	CAGE	Intestinal epithelial cells (polarized),	
210	CAGE	Anulus Pulposus Cell,	
211	CAGE	Anulus Pulposus Cell,	
212	CAGE	Pancreatic stromal cells,	
213	CAGE	Pancreatic stromal cells,	
214	CAGE	Fibroblast - Pulmonary Artery,	
215	CAGE	Fibroblast - Pulmonary Artery,	
216	CAGE	Keratinocyte - oral,	
217	CAGE	Keratinocyte - oral,	
218	CAGE	Nucleus Pulposus Cell,	
219	CAGE	Nucleus Pulposus Cell,	
220	CAGE	Prostate Epithelial Cells (polarized),	
221	CAGE	Prostate Epithelial Cells (polarized),	
222	CAGE	Prostate Stromal Cells,	
223	CAGE	Prostate Stromal Cells,	
224	CAGE	Small Airway Epithelial Cells,	
225	CAGE	Small Airway Epithelial Cells,	
226	CAGE	cord blood derived cell line	
227	CAGE	cord blood derived cell line	
228	CAGE	embryonic kidney cell line	
229	CAGE	embryonic kidney cell line	
230	CAGE	embryonic kidney cell line	
231	CAGE	embryonic kidney cell line	
232	CAGE	cord blood derived cell line	
233	CAGE	cord blood derived cell line	
234	CAGE	cord blood derived cell line	
235	CAGE	cord blood derived cell line	
236	CAGE	Adipocyte - breast,	
237	CAGE	Adipocyte - breast,	
238	CAGE	Preadipocyte - breast,	
239	CAGE	Preadipocyte - breast,	
240	CAGE	Adipocyte - omental,	
241	CAGE	Adipocyte - omental,	
242	CAGE	Mesenchymal Stem Cells - Wharton's Jelly,	
243	CAGE	Mesenchymal Stem Cells - Wharton's Jelly,	
244	CAGE	Gingival epithelial cells,  (GEA11)	
245	CAGE	Gingival epithelial cells,  (GEA11)	
246	CAGE	Neural stem cells,	
247	CAGE	Neural stem cells,	
248	CAGE	Keratinocyte - epidermal,	
249	CAGE	Keratinocyte - epidermal,	
250	CAGE	Preadipocyte - omental,	
251	CAGE	Preadipocyte - omental,	
252	CAGE	Smooth Muscle Cells - Internal Thoracic Artery,	
253	CAGE	Smooth Muscle Cells - Internal Thoracic Artery,	
254	CAGE	Synoviocyte,	
255	CAGE	Synoviocyte,	
256	CAGE	Mast cell - stimulated,	
257	CAGE	Mast cell - stimulated,	
258	CAGE	Fibroblast - skin spinal muscular atrophy,	
259	CAGE	Fibroblast - skin spinal muscular atrophy,	
260	CAGE	Whole blood (ribopure), , donation1	
261	CAGE	Whole blood (ribopure), , donation1	
262	CAGE	Whole blood (ribopure), , donation2	
263	CAGE	Whole blood (ribopure), , donation2	
264	CAGE	Mammary Epithelial Cell,	
265	CAGE	Mammary Epithelial Cell,	
266	CAGE	Osteoblast,	
267	CAGE	Osteoblast,	
268	CAGE	Placental Epithelial Cells,	
269	CAGE	Placental Epithelial Cells,	
270	CAGE	Preadipocyte - subcutaneous,	
271	CAGE	Preadipocyte - subcutaneous,	
272	CAGE	Preadipocyte - visceral,	
273	CAGE	Preadipocyte - visceral,	
274	CAGE	Skeletal Muscle Cells,	
275	CAGE	Skeletal Muscle Cells,	
276	CAGE	Skeletal muscle cells differentiated into Myotubes - multinucleated,	
277	CAGE	Skeletal muscle cells differentiated into Myotubes - multinucleated,	
278	CAGE	Smooth Muscle Cells - Brachiocephalic,	
279	CAGE	Smooth Muscle Cells - Brachiocephalic,	
280	CAGE	Smooth Muscle Cells - Carotid,	
281	CAGE	Smooth Muscle Cells - Carotid,	
282	CAGE	Smooth Muscle Cells - Coronary Artery,	
283	CAGE	Smooth Muscle Cells - Coronary Artery,	
284	CAGE	Smooth Muscle Cells - Pulmonary Artery,	
285	CAGE	Smooth Muscle Cells - Pulmonary Artery,	
286	CAGE	Smooth Muscle Cells - Subclavian Artery,	
287	CAGE	Smooth Muscle Cells - Subclavian Artery,	
288	CAGE	Smooth Muscle Cells - Umbilical Artery,	
289	CAGE	Smooth Muscle Cells - Umbilical Artery,	
290	CAGE	Tracheal Epithelial Cells,	
291	CAGE	Tracheal Epithelial Cells,	
292	CAGE	ductal cell carcinoma cell line	
293	CAGE	ductal cell carcinoma cell line	
294	CAGE	schwannoma cell line	
295	CAGE	schwannoma cell line	
296	CAGE	glioblastoma cell line	
297	CAGE	glioblastoma cell line	
298	CAGE	prostate cancer cell line	
299	CAGE	prostate cancer cell line	
300	CAGE	synovial sarcoma cell line	
301	CAGE	synovial sarcoma cell line	
302	CAGE	epithelioid sarcoma cell line	
303	CAGE	epithelioid sarcoma cell line	
304	CAGE	endometrial stromal sarcoma cell line	
305	CAGE	endometrial stromal sarcoma cell line	
306	CAGE	chronic myelogenous leukemia cell line	
307	CAGE	chronic myelogenous leukemia cell line	
308	CAGE	acute lymphoblastic leukemia (B-ALL) cell line	
309	CAGE	acute lymphoblastic leukemia (B-ALL) cell line	
310	CAGE	squamous cell carcinoma cell line	
311	CAGE	squamous cell carcinoma cell line	
312	CAGE	acute lymphoblastic leukemia (T-ALL) cell line	
313	CAGE	acute lymphoblastic leukemia (T-ALL) cell line	
314	CAGE	melanoma cell line	
315	CAGE	melanoma cell line	
316	CAGE	rectal cancer cell line	
317	CAGE	rectal cancer cell line	
318	CAGE	gall bladder carcinoma cell line	
319	CAGE	gall bladder carcinoma cell line	
320	CAGE	renal cell carcinoma cell line	
321	CAGE	renal cell carcinoma cell line	
322	CAGE	myeloma cell line	
323	CAGE	myeloma cell line	
324	CAGE	ductal cell carcinoma cell line	
325	CAGE	ductal cell carcinoma cell line	
326	CAGE	prostate cancer cell line	
327	CAGE	prostate cancer cell line	
328	CAGE	transitional-cell carcinoma cell line	
329	CAGE	transitional-cell carcinoma cell line	
330	CAGE	mesothelioma cell line	
331	CAGE	mesothelioma cell line	
332	CAGE	mesothelioma cell line	
333	CAGE	mesothelioma cell line	
334	CAGE	bile duct carcinoma cell line	
335	CAGE	bile duct carcinoma cell line	
336	CAGE	endometrial carcinoma cell line	
337	CAGE	endometrial carcinoma cell line	
338	CAGE	retinoblastoma cell line	
339	CAGE	retinoblastoma cell line	
340	CAGE	Burkitt's lymphoma cell line	
341	CAGE	Burkitt's lymphoma cell line	
342	CAGE	rhabdomyosarcoma cell line	
343	CAGE	rhabdomyosarcoma cell line	
344	CAGE	signet ring carcinoma cell line	
345	CAGE	signet ring carcinoma cell line	
346	CAGE	hepatoma cell line	
347	CAGE	hepatoma cell line	
348	CAGE	glioblastoma cell line	
349	CAGE	glioblastoma cell line	
350	CAGE	squamous cell lung carcinoma cell line	
351	CAGE	squamous cell lung carcinoma cell line	
352	CAGE	giant cell carcinoma cell line	
353	CAGE	giant cell carcinoma cell line	
354	CAGE	lung adenocarcinoma cell line	
355	CAGE	lung adenocarcinoma cell line	
356	CAGE	neuroblastoma cell line	
357	CAGE	neuroblastoma cell line	
358	CAGE	large cell lung carcinoma cell line	
359	CAGE	large cell lung carcinoma cell line	
360	CAGE	osteosarcoma cell line	
361	CAGE	osteosarcoma cell line	
362	CAGE	colon carcinoma cell line	
363	CAGE	colon carcinoma cell line	
364	CAGE	melanoma cell line	
365	CAGE	melanoma cell line	
366	CAGE	acute lymphoblastic leukemia (B-ALL) cell line	
367	CAGE	acute lymphoblastic leukemia (B-ALL) cell line	
368	CAGE	cholangiocellular carcinoma cell line	
369	CAGE	cholangiocellular carcinoma cell line	
370	CAGE	neuroblastoma cell line	
371	CAGE	neuroblastoma cell line	
372	CAGE	small cell lung carcinoma cell line	
373	CAGE	small cell lung carcinoma cell line	
374	CAGE	gastric cancer cell line	
375	CAGE	gastric cancer cell line	
376	CAGE	oral squamous cell carcinoma cell line	
377	CAGE	oral squamous cell carcinoma cell line	
378	CAGE	cervical cancer cell line	
379	CAGE	cervical cancer cell line	
380	CAGE	cervical cancer cell line	
381	CAGE	cervical cancer cell line	
382	CAGE	osteosarcoma cell line	
383	CAGE	osteosarcoma cell line	
384	CAGE	Melanocyte - light,	
385	CAGE	Melanocyte - light,	
386	CAGE	Osteoblast - differentiated,	
387	CAGE	Osteoblast - differentiated,	
388	CAGE	Mesenchymal Stem Cells - bone marrow,	
389	CAGE	Mesenchymal Stem Cells - bone marrow,	
390	CAGE	Pericytes,	
391	CAGE	Pericytes,	
392	CAGE	Fibroblast - Choroid Plexus,	
393	CAGE	Fibroblast - Choroid Plexus,	
394	CAGE	Meningeal Cells,	
395	CAGE	Meningeal Cells,	
396	CAGE	Astrocyte - cerebellum,	
397	CAGE	Astrocyte - cerebellum,	
398	CAGE	Fibroblast - Lymphatic,	
399	CAGE	Fibroblast - Lymphatic,	
400	CAGE	Esophageal Epithelial Cells,	
401	CAGE	Esophageal Epithelial Cells,	
402	CAGE	Smooth Muscle Cells - Esophageal,	
403	CAGE	Smooth Muscle Cells - Esophageal,	
404	CAGE	Alveolar Epithelial Cells,	
405	CAGE	Alveolar Epithelial Cells,	
406	CAGE	Bronchial Epithelial Cell,	
407	CAGE	Bronchial Epithelial Cell,	
408	CAGE	Smooth Muscle Cells - Bronchial,	
409	CAGE	Smooth Muscle Cells - Bronchial,	
410	CAGE	Smooth Muscle Cells - Tracheal,	
411	CAGE	Smooth Muscle Cells - Tracheal,	
412	CAGE	Renal Proximal Tubular Epithelial Cell,	
413	CAGE	Renal Proximal Tubular Epithelial Cell,	
414	CAGE	Renal Cortical Epithelial Cells,	
415	CAGE	Renal Cortical Epithelial Cells,	
416	CAGE	Renal Epithelial Cells,	
417	CAGE	Renal Epithelial Cells,	
418	CAGE	Renal Mesangial Cells,	
419	CAGE	Renal Mesangial Cells,	
420	CAGE	Urothelial Cells,	
421	CAGE	Urothelial Cells,	
422	CAGE	Hepatic Stellate Cells (lipocyte),	
423	CAGE	Hepatic Stellate Cells (lipocyte),	
424	CAGE	Corneal Epithelial Cells,	
425	CAGE	Corneal Epithelial Cells,	
426	CAGE	Keratocytes,	
427	CAGE	Keratocytes,	
428	CAGE	Fibroblast - Conjunctival,	
429	CAGE	Fibroblast - Conjunctival,	
430	CAGE	Trabecular Meshwork Cells,	
431	CAGE	Trabecular Meshwork Cells,	
432	CAGE	Amniotic Epithelial Cells,	
433	CAGE	Amniotic Epithelial Cells,	
434	CAGE	Fibroblast - Villous Mesenchymal,	
435	CAGE	Fibroblast - Villous Mesenchymal,	
436	CAGE	Mesenchymal Stem Cells - adipose,	
437	CAGE	Mesenchymal Stem Cells - adipose,	
438	CAGE	Mesenchymal Stem Cells - hepatic,	
439	CAGE	Mesenchymal Stem Cells - hepatic,	
440	CAGE	Mesenchymal Stem Cells - umbilical,	
441	CAGE	Mesenchymal Stem Cells - umbilical,	
442	CAGE	Fibroblast - Mammary,	
443	CAGE	Fibroblast - Mammary,	
444	CAGE	Mesenchymal Stem Cells - amniotic membrane,	
445	CAGE	Mesenchymal Stem Cells - amniotic membrane,	
446	CAGE	Multipotent Cord Blood Unrestricted Somatic Stem Cells,	
447	CAGE	Multipotent Cord Blood Unrestricted Somatic Stem Cells,	
448	CAGE	Fibroblast - skin normal,	
449	CAGE	Fibroblast - skin normal,	
450	CAGE	Fibroblast - skin walker warburg,	
451	CAGE	Fibroblast - skin walker warburg,	
452	CAGE	Fibroblast - skin dystrophia myotonica,	
453	CAGE	Fibroblast - skin dystrophia myotonica,	
454	CAGE	Adipocyte - subcutaneous,	
455	CAGE	Adipocyte - subcutaneous,	
456	CAGE	Chondrocyte - de diff,	
457	CAGE	Chondrocyte - de diff,	
458	CAGE	Chondrocyte - re diff,	
459	CAGE	Chondrocyte - re diff,	
460	CAGE	Endothelial Cells - Microvascular,	
461	CAGE	Endothelial Cells - Microvascular,	
462	CAGE	Endothelial Cells - Vein,	
463	CAGE	Endothelial Cells - Vein,	
464	CAGE	Fibroblast - Cardiac,	
465	CAGE	Fibroblast - Cardiac,	
466	CAGE	Fibroblast - Dermal,	
467	CAGE	Fibroblast - Dermal,	
468	CAGE	Fibroblast - Lung,	
469	CAGE	Fibroblast - Lung,	
470	CAGE	uterus, adult, pool1	
471	CAGE	uterus, adult, pool1	
472	CAGE	salivary gland, adult, pool1	
473	CAGE	salivary gland, adult, pool1	
474	CAGE	lung, fetal,	
475	CAGE	lung, fetal,	
476	CAGE	chronic lymphocytic leukemia (T-CLL) cell line	
477	CAGE	chronic lymphocytic leukemia (T-CLL) cell line	
478	CAGE	Hodgkin's lymphoma cell line	
479	CAGE	Hodgkin's lymphoma cell line	
480	CAGE	papillary adenocarcinoma cell line	
481	CAGE	papillary adenocarcinoma cell line	
482	CAGE	oral squamous cell carcinoma cell line	
483	CAGE	oral squamous cell carcinoma cell line	
484	CAGE	mesenchymal stem cell line	
485	CAGE	mesenchymal stem cell line	
486	CAGE	leiomyoma cell line	
487	CAGE	leiomyoma cell line	
488	CAGE	leiomyoma cell line	
489	CAGE	leiomyoma cell line	
490	CAGE	leiomyoma cell line	
491	CAGE	leiomyoma cell line	
492	CAGE	argyrophil small cell carcinoma cell line	
493	CAGE	argyrophil small cell carcinoma cell line	
494	CAGE	testicular germ cell embryonal carcinoma cell line	
495	CAGE	testicular germ cell embryonal carcinoma cell line	
496	CAGE	Wilms' tumor cell line	
497	CAGE	Wilms' tumor cell line	
498	CAGE	myxofibrosarcoma cell line	
499	CAGE	myxofibrosarcoma cell line	
500	CAGE	embryonic pancreas cell line	
501	CAGE	embryonic pancreas cell line	
502	CAGE	embryonic pancreas cell line	
503	CAGE	embryonic pancreas cell line	
504	CAGE	embryonic pancreas cell line	
505	CAGE	embryonic pancreas cell line	
506	CAGE	small-cell gastrointestinal carcinoma cell line	
507	CAGE	small-cell gastrointestinal carcinoma cell line	
508	CAGE	small cell gastrointestinal carcinoma cell line	
509	CAGE	small cell gastrointestinal carcinoma cell line	
510	CAGE	gastric adenocarcinoma cell line	
511	CAGE	gastric adenocarcinoma cell line	
512	CAGE	gastrointestinal carcinoma cell line	
513	CAGE	gastrointestinal carcinoma cell line	
514	CAGE	squamous cell carcinoma cell line	
515	CAGE	squamous cell carcinoma cell line	
516	CAGE	granulosa cell tumor cell line	
517	CAGE	granulosa cell tumor cell line	
518	CAGE	diffuse large B-cell lymphoma cell line	
519	CAGE	diffuse large B-cell lymphoma cell line	
520	CAGE	hepatoblastoma cell line	
521	CAGE	hepatoblastoma cell line	
522	CAGE	neuroectodermal tumor cell line	
523	CAGE	neuroectodermal tumor cell line	
524	CAGE	clear cell carcinoma cell line	
525	CAGE	clear cell carcinoma cell line	
526	CAGE	serous adenocarcinoma cell line	
527	CAGE	serous adenocarcinoma cell line	
528	CAGE	carcinosarcoma cell line	
529	CAGE	carcinosarcoma cell line	
530	CAGE	endometrioid adenocarcinoma cell line	
531	CAGE	endometrioid adenocarcinoma cell line	
532	CAGE	squamous cell carcinoma cell line	
533	CAGE	squamous cell carcinoma cell line	
534	CAGE	lens epithelial cell line	
535	CAGE	lens epithelial cell line	
536	CAGE	mucinous adenocarcinoma cell line	
537	CAGE	mucinous adenocarcinoma cell line	
538	CAGE	neuroectodermal tumor cell line	
539	CAGE	neuroectodermal tumor cell line	
540	CAGE	smooth muscle, adult, pool1	
541	CAGE	smooth muscle, adult, pool1	
542	CAGE	pancreas, adult,	
543	CAGE	pancreas, adult,	
544	CAGE	heart, adult, diseased post-infarction,	
545	CAGE	heart, adult, diseased post-infarction,	
546	CAGE	heart, adult, diseased,	
547	CAGE	heart, adult, diseased,	
548	CAGE	aorta, adult, pool1	
549	CAGE	aorta, adult, pool1	
550	CAGE	blood, adult, pool1	
551	CAGE	blood, adult, pool1	
552	CAGE	eye, fetal,	
553	CAGE	eye, fetal,	
554	CAGE	uterus, fetal,	
555	CAGE	uterus, fetal,	
556	CAGE	spinal cord, fetal,	
557	CAGE	spinal cord, fetal,	
558	CAGE	umbilical cord, fetal,	
559	CAGE	umbilical cord, fetal,	
560	CAGE	trachea, fetal,	
561	CAGE	trachea, fetal,	
562	CAGE	tongue, fetal,	
563	CAGE	tongue, fetal,	
564	CAGE	thyroid, fetal,	
565	CAGE	thyroid, fetal,	
566	CAGE	throat, fetal,	
567	CAGE	throat, fetal,	
568	CAGE	stomach, fetal,	
569	CAGE	stomach, fetal,	
570	CAGE	temporal lobe, fetal, , tech_	
571	CAGE	temporal lobe, fetal, , tech_	
572	CAGE	small intestine, fetal,	
573	CAGE	small intestine, fetal,	
574	CAGE	skin, fetal,	
575	CAGE	skin, fetal,	
576	CAGE	skeletal muscle, fetal,	
577	CAGE	skeletal muscle, fetal,	
578	CAGE	rectum, fetal,	
579	CAGE	rectum, fetal,	
580	CAGE	diaphragm, fetal,	
581	CAGE	diaphragm, fetal,	
582	CAGE	colon, fetal,	
583	CAGE	colon, fetal,	
584	CAGE	duodenum, fetal, , tech_	
585	CAGE	duodenum, fetal, , tech_	
586	CAGE	parietal lobe, fetal,	
587	CAGE	parietal lobe, fetal,	
588	CAGE	occipital lobe, fetal,	
589	CAGE	occipital lobe, fetal,	
590	CAGE	skin, adult,	
591	CAGE	skin, adult,	
592	CAGE	lung, right lower lobe, adult,	
593	CAGE	lung, right lower lobe, adult,	
594	CAGE	occipital lobe, adult,	
595	CAGE	occipital lobe, adult,	
596	CAGE	lymph node, adult,	
597	CAGE	lymph node, adult,	
598	CAGE	left ventricle, adult,	
599	CAGE	left ventricle, adult,	
600	CAGE	left atrium, adult,	
601	CAGE	left atrium, adult,	
602	CAGE	breast, adult,	
603	CAGE	breast, adult,	
604	CAGE	adrenal gland, adult, pool1	
605	CAGE	adrenal gland, adult, pool1	
606	CAGE	colon, adult,	
607	CAGE	colon, adult,	
608	CAGE	cerebellum, adult, pool1	
609	CAGE	cerebellum, adult, pool1	
610	CAGE	brain, adult,	
611	CAGE	brain, adult,	
612	CAGE	brain, fetal, pool1	
613	CAGE	brain, fetal, pool1	
614	CAGE	liver, fetal, pool1	
615	CAGE	liver, fetal, pool1	
616	CAGE	oral squamous cell carcinoma cell line	
617	CAGE	oral squamous cell carcinoma cell line	
618	CAGE	neuroblastoma cell line	
619	CAGE	neuroblastoma cell line	
620	CAGE	small cell lung carcinoma cell line	
621	CAGE	small cell lung carcinoma cell line	
622	CAGE	xeroderma pigentosum b cell line	
623	CAGE	xeroderma pigentosum b cell line	
624	CAGE	embryonic pancreas cell line	
625	CAGE	embryonic pancreas cell line	
626	CAGE	neuroblastoma cell line	
627	CAGE	neuroblastoma cell line	
628	CAGE	gastric adenocarcinoma cell line	
629	CAGE	gastric adenocarcinoma cell line	
630	CAGE	choriocarcinoma cell line	
631	CAGE	choriocarcinoma cell line	
632	CAGE	myxofibrosarcoma cell line	
633	CAGE	myxofibrosarcoma cell line	
634	CAGE	Krukenberg tumor cell line	
635	CAGE	Krukenberg tumor cell line	
